"industry_name_nzsioc","return_on_equity_percent"
"Mining",63
"Construction",43
"Construction",42
"Construction",41
"Construction",41
"Construction",39
"Construction",39
"Construction",38
"Mining",37
"Professional, Scientific, Technical, Administrative and Support Services",37
"Professional, Scientific, Technical, Administrative and Support Services",36
"Construction",36
"Construction",36
"Construction",36
"Construction",35
"Professional, Scientific, Technical, Administrative and Support Services",35
"Information Media and Telecommunications",35
"Public Order, Safety and Regulatory Services",34
"Professional, Scientific, Technical, Administrative and Support Services",33
"Wholesale Trade",31
"Public Order, Safety and Regulatory Services",31
"Retail Trade and Accommodation",31
"Public Order, Safety and Regulatory Services",30
"Public Order, Safety and Regulatory Services",30
"Retail Trade and Accommodation",29
"Construction",29
"Retail Trade and Accommodation",29
"Professional, Scientific, Technical, Administrative and Support Services",28
"Retail Trade and Accommodation",28
"Retail Trade and Accommodation",28
"Mining",28
"Wholesale Trade",27
"Retail Trade and Accommodation",27
"Mining",27
"Retail Trade and Accommodation",26
"Public Order, Safety and Regulatory Services",26
"Mining",26
"Professional, Scientific, Technical, Administrative and Support Services",26
"Retail Trade and Accommodation",25
"Public Order, Safety and Regulatory Services",25
"Professional, Scientific, Technical, Administrative and Support Services",25
"Professional, Scientific, Technical, Administrative and Support Services",25
"Retail Trade and Accommodation",25
"Health Care and Social Assistance",24
"Information Media and Telecommunications",24
"Health Care and Social Assistance",24
"Wholesale Trade",24
"Retail Trade and Accommodation",24
"Wholesale Trade",24
"Wholesale Trade",24
"Wholesale Trade",24
"Professional, Scientific, Technical, Administrative and Support Services",24
"Professional, Scientific, Technical, Administrative and Support Services",23
"Retail Trade and Accommodation",23
"Wholesale Trade",23
"Retail Trade and Accommodation",23
"Professional, Scientific, Technical, Administrative and Support Services",23
"Health Care and Social Assistance",23
"Wholesale Trade",23
"Wholesale Trade",22
"Public Order, Safety and Regulatory Services",21
"Mining",21
"Health Care and Social Assistance",21
"Health Care and Social Assistance",21
"Wholesale Trade",21
"Manufacturing",20
"Public Order, Safety and Regulatory Services",20
"Manufacturing",20
"Manufacturing",20
"Public Order, Safety and Regulatory Services",19
"Manufacturing",19
"Health Care and Social Assistance",19
"Health Care and Social Assistance",19
"Manufacturing",19
"Professional, Scientific, Technical, Administrative and Support Services",19
"Public Order, Safety and Regulatory Services",19
"Health Care and Social Assistance",19
"Health Care and Social Assistance",19
"Wholesale Trade",19
"Public Order, Safety and Regulatory Services",18
"Mining",18
"Health Care and Social Assistance",18
"Manufacturing",17
"Health Care and Social Assistance",17
"Wholesale Trade",17
"Manufacturing",16
"Health Care and Social Assistance",16
"Arts, Recreation and Other Services",15
"Arts, Recreation and Other Services",14
"Manufacturing",14
"All industries",14
"Education and Training",14
"All industries",14
"Financial and Insurance Services",14
"All industries",14
"Arts, Recreation and Other Services",14
"Mining",14
"Public order, safety and regulatory services",14
"Education and Training",13
"Arts, Recreation and Other Services",13
"All industries",13
"Arts, Recreation and Other Services",13
"All industries",13
"Mining",13
"Manufacturing",13
"Transport, Postal and Warehousing",13
"Manufacturing",13
"Arts, Recreation and Other Services",13
"Arts, Recreation and Other Services",13
"Arts, Recreation and Other Services",12
"Education and Training",12
"Transport, Postal and Warehousing",12
"Financial and Insurance Services",12
"Education and Training",12
"Manufacturing",12
"Education and Training",12
"Information Media and Telecommunications",12
"Financial and Insurance Services",12
"Financial and Insurance Services",12
"All industries",12
"Education and Training",12
"All industries",12
"Arts, Recreation and Other Services",12
"Transport, Postal and Warehousing",11
"Electricity, Gas, Water and Waste Services",11
"Education and Training",11
"All industries",11
"Information Media and Telecommunications",11
"All industries",11
"Arts, Recreation and Other Services",11
"Transport, Postal and Warehousing",11
"Arts, Recreation and Other Services",11
"Rental, Hiring and Real Estate Services",11
"Agriculture, Forestry and Fishing",11
"All industries",11
"Rental, Hiring and Real Estate Services",11
"Financial and Insurance Services",11
"Transport, Postal and Warehousing",11
